City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
69,Ponta Do Sol,PT,32.6667,-17.1,289.26,92,21,0.96,few clouds
70,Pudozh,RU,61.8099,36.5345,266.96,97,99,3.27,snow
71,Bowen,AU,-20.0167,148.2333,295.15,88,91,2.57,overcast clouds
72,Itarema,BR,-2.9248,-39.9167,304.32,57,63,8.01,broken clouds
73,Yar-Sale,RU,66.8333,70.8333,261.39,95,100,7.96,overcast clouds
74,Hamilton,US,39.1834,-84.5333,272.04,86,90,5.66,mist
75,Castro,BR,-24.7911,-50.0119,296.5,89,45,4.49,scattered clouds
76,Aksarka,RU,66.5606,67.7975,263.39,96,100,6.13,snow
77,Bend,US,44.0582,-121.3153,280.37,65,1,4.82,clear sky
78,Nome,US,64.5011,-165.4064,259.15,61,90,12.35,overcast clouds
79,Chuy,UY,-33.6971,-53.4616,298.24,79,58,5.81,light rain
80,Victoria,HK,22.2855,114.1577,292.59,84,58,2.91,broken clouds
81,Upernavik,GL,72.7868,-56.1549,256.86,92,100,2.71,overcast clouds
82,Zhigansk,RU,66.7697,123.3711,227.54,77,55,0.75,broken clouds
83,Khorramshahr,IR,30.4397,48.1664,290.15,45,0,2.06,clear sky
84,Khandyga,RU,62.6667,135.6,224.67,67,96,0.21,overcast clouds
85,Kaitangata,NZ,-46.2817,169.8464,283.36,87,1,1.7,clear sky
86,Svetlogorsk,BY,52.6333,29.7333,265.0,96,69,2.15,broken clouds
87,Seoul,KR,37.5683,126.9778,270.15,42,0,4.12,clear sky
88,Nata,PA,8.3333,-80.5167,305.15,55,20,8.23,few clouds
89,Ixtapa,MX,20.7,-105.2,297.15,64,1,1.4,clear sky
90,Port Lincoln,AU,-34.7333,135.8667,288.94,83,8,5.08,clear sky
91,Ilulissat,GL,69.2167,-51.1,260.15,72,75,2.57,light snow
92,Butaritari,KI,3.0707,172.7902,300.35,85,30,7.25,light rain
93,Zachary,US,30.6485,-91.1565,284.26,50,1,5.66,clear sky
94,Hornepayne,CA,49.2138,-84.7705,262.43,91,98,1.47,overcast clouds
95,Hilo,US,19.7297,-155.09,291.15,68,75,3.09,broken clouds
96,Guaratuba,BR,-25.8828,-48.5747,302.15,84,75,3.09,broken clouds
97,Vao,NC,-22.6667,167.4833,297.21,80,100,10.92,overcast clouds
98,Camopi,GF,3.1655,-52.3158,299.23,92,89,2.27,overcast clouds
99,Mataura,NZ,-46.1927,168.8643,283.57,91,9,0.77,clear sky
100,Airai,TL,-8.9266,125.4092,289.59,100,99,1.17,moderate rain
101,Fort Dodge,US,42.4975,-94.168,270.15,80,90,3.09,overcast clouds
102,Cherskiy,RU,68.75,161.3,258.99,94,100,5.43,snow
103,Llanelli,GB,51.682,-4.1619,277.15,100,75,5.14,broken clouds
104,Xichang,CN,27.8964,102.2634,279.53,61,0,0.65,clear sky
105,Ostersund,SE,63.1792,14.6357,261.15,92,0,0.18,clear sky
106,Kayalpattinam,IN,8.5667,78.1167,299.6,64,0,8.59,clear sky
107,Godda,IN,24.8333,87.2167,284.56,51,0,1.05,clear sky
108,Kapiri Mposhi,ZM,-13.9652,28.6809,292.09,95,100,1.64,overcast clouds
109,Najran,SA,17.4924,44.1277,292.15,37,0,2.06,clear sky
110,Punta Gorda,US,26.9298,-82.0454,292.04,52,34,4.02,scattered clouds
111,Port Macquarie,AU,-31.4333,152.9167,292.04,97,68,4.77,broken clouds
